"Warennummer","Produkt","Preis in €","Paketbeschreibung","Paketgröße","Paketeinheit","Preis in Schiller","Einkaufsort"
1,"Backpulver",0.18,"1 Pkg.",6,"Beutel",2,"Kaufland"
2,"Bagels (3er Pck. Zum Aufbacken)",0.99,"1 Pkg.",4,"Stk.",10,"Kaufland"
3,"dunkler Tortenboden(Wiener Boden)",0.75,"1 Pkg.",300,"g",8,"Kaufland"
4,"Eier (Freilandhaltung)",1.59,"1 Pkg.",10,"Stk.",16,"Kaufland"
5,"Mehl",0.39,"1 Pkg.",1,"kg",4,"Kaufland"
6,"Nüsse (gerieben)",0.99,"1 Pkg.",200,"g",10,"Kaufland"
7,"Sahnesteif",0.19,"1 Pkg.",5,"Beutel",2,"Kaufland"
8,"Speisestärke",0.45,"1 Pkg.",400,"g",5,"Kaufland"
9,"Vanillezucker",0.19,"1 Pkg.",10,"Beutel",2,"Kaufland"
10,"Zitronat",0.35,"1 Pkg.",100,"g",4,"Kaufland"
11,"Aufbackhörnchen",1.69,"1 Pkg.",4,"Stk.",17,"Kaufland"
12,"Baguette",1,"1 Pkg.",1,"Stk.",10,"Bäcker"
13,"Baguettebrötchen zum Aufbacken!!!",1.39,"1 Pkg.",6,"Stk.",14,"Kaufland"
14,"Brezeln ( Aufbacken)",1.19,"1 Pkg.",10,"Stk.",12,"Kaufland"
15,"Brezeln ",0.33,"1 Pkg.",1,"Stk.",3,"Bäcker"
16,"Brötchen (Aufbacken)",0.75,"1 Pkg.",8,"Stk.",8,"Kaufland"
17,"Croissants",0.6,"1 Pkg.",1,"Stk.",6,"Bäcker"
18,"Hamburgerbrötchen",0.95,"1 Pkg.",6,"Stk.",10,"Bäcker"
19,"Hotdogbrötchen",0.99,"1 Pkg.",4,"Stk.",10,"Kaufland"
20,"Laugenbrötchen",0.28,"1 Pkg.",1,"Stk.",3,"Kaufland"
21,"Sesam-Hamburgerbrötchen",0.99,"1 Pkg.",6,"Stk.",10,"Bäcker"
22,"Tafelbrötchen",0.2,"1 Pkg.",1,"Stk.",2,"Kaufland"
23,"Toastbrot ",1.09,"1 Pkg.",500,"g",11,"Bäcker"
24,"Vollkornbrötchen (Aufbacken)",0.75,"1 Pkg.",8,"Stk.",8,"Kaufland"
25,"Vollkorntoast",1.09,"1 Pkg.",500,"g",11,"Kaufland"
26,"Aprikosenmarmelade",2.39,"1 Glas",450,"g",24,"Kaufland"
27,"Erdbeermarmelade",0.89,"1 Glas",600,"g",28,"Kaufland"
28,"Himbeermarmelade",2.39,"1 Glas",450,"g",24,"Kaufland"
29,"Erdnussbutter",1.79,"1 Glas",340,"g",18,"Kaufland"
30,"Honig",2.19,"1 Glas",500,"g",22,"Kaufland"
31,"Margarine",0.69,"1 Pkg.",250,"g",7,"Kaufland"
32,"Nutella",3.39,"1 Glas",760,"g",34,"Kaufland"
33,"Erdbeereis",1.39,"1 Pkg.",1,"kg",14,"Kaufland"
34,"Joghurteis",1.39,"1 Pkg.",750,"ml",14,"Kaufland"
35,"Karamelleis",2.95,"1 Pkg.",900,"ml",30,"Kaufland"
36,"Schokoladeneis",1.39,"1 Pkg.",1,"kg",14,"Kaufland"
37,"Schwarzwälderkirscheis",1.39,"1 Pkg.",1,"kg",14,"Kaufland"
38,"Stracciatellaeis",1.39,"1 Pkg.",1,"kg",14,"Kaufland"
39,"Vanilleeis",2.29,"1 Pkg.",2500,"kg",14,"Kaufland"
40,"Walnusseis",1.39,"1 Pkg.",1,"kg",14,"Kaufland"
